Ticker,BusinessDate,TimeBucket,Open,High,Low,Close,Volume
AUDUSD,20180401,21:00,0.76855,0.76928,0.76844,0.76888,356150000
AUDUSD,20180401,22:00,0.76884,0.76884,0.76834,0.76859,830980000
AUDUSD,20180401,23:00,0.76856,0.7686,0.76807,0.76828,1865340000
AUDUSD,20180420,0:00,0.77199,0.77263,0.77133,0.77244,3431730000
AUDUSD,20180420,10:00,0.77244,0.77244,0.7705,0.77165,3926090000
AUDUSD,20180420,3:00,0.77125,0.77152,0.77087,0.77147,2883040000
AUDUSD,20180420,4:00,0.77147,0.77188,0.77141,0.77161,2359620000
AUDUSD,20180420,5:00,0.77161,0.77163,0.7711,0.77142,2856450000
AUDUSD,20180420,6:00,0.77142,0.77158,0.77052,0.77123,4281140000
AUDUSD,20180420,7:00,0.77123,0.77166,0.76996,0.77034,4890650000
AUDUSD,20180420,8:00,0.77035,0.77094,0.77004,0.77037,3127580000
AUDUSD,20180420,9:00,0.77037,0.77056,0.76861,0.76917,3401350000
AUDUSD,20180420,10:00,0.76918,0.76965,0.76847,0.76958,3001390000
AUDUSD,20180420,11:00,0.76959,0.76993,0.76924,0.76966,2728480000
AUDUSD,20180420,12:00,0.76969,0.77018,0.76816,0.76818,4878360000
AUDUSD,20180420,13:00,0.76818,0.76846,0.76578,0.76585,5801760000
AUDUSD,20180420,14:00,0.76586,0.7674,0.76549,0.76736,6297650000
AUDUSD,20180420,15:00,0.76738,0.7678,0.76687,0.76694,7456520000
AUDUSD,20180420,16:00,0.76695,0.76735,0.76627,0.76717,7086150000
AUDUSD,20180420,17:00,0.76718,0.76762,0.76675,0.76705,4293470000
AUDUSD,20180420,18:00,0.76705,0.76735,0.76673,0.76675,2898380000
AUDUSD,20180420,19:00,0.76673,0.76696,0.7663,0.76668,3404410000
AUDUSD,20180420,20:00,0.76669,0.76715,0.76649,0.76688,2197010000
USDJPY,20180401,21:00,106.167,106.268,106.167,106.26,241630000
USDJPY,20180401,22:00,106.261,106.405,106.261,106.301,3701580000
USDJPY,20180401,23:00,106.301,106.349,106.253,106.318,4253470000
USDJPY,20180420,0:00,107.443,107.561,107.394,107.463,7233860016
USDJPY,20180420,10:00,107.462,107.732,107.413,107.718,7222070000
USDJPY,20180420,20:00,107.721,107.728,107.615,107.656,4820230000
USDJPY,20180420,3:00,107.656,107.672,107.58,107.615,3665200002
USDJPY,20180420,4:00,107.616,107.685,107.616,107.647,2921589999
USDJPY,20180420,5:00,107.647,107.672,107.605,107.634,4717870001
USDJPY,20180420,6:00,107.63,107.632,107.486,107.506,6662910000
USDJPY,20180420,7:00,107.507,107.578,107.479,107.555,6147710001
USDJPY,20180420,8:00,107.554,107.616,107.535,107.616,3923370000
USDJPY,20180420,9:00,107.616,107.686,107.601,107.66,4651240001
USDJPY,20180420,10:00,107.661,107.711,107.634,107.636,4494910000
USDJPY,20180420,11:00,107.636,107.655,107.574,107.62,4128920000
USDJPY,20180420,12:00,107.62,107.702,107.551,107.693,5744250000
USDJPY,20180420,13:00,107.695,107.798,107.663,107.791,8975020000
USDJPY,20180420,14:00,107.79,107.855,107.691,107.698,8726400000
USDJPY,20180420,15:00,107.698,107.711,107.565,107.614,9373630000
USDJPY,20180420,16:00,107.615,107.646,107.51,107.511,7216589999
USDJPY,20180420,17:00,107.512,107.604,107.506,107.578,4924799999
USDJPY,20180420,18:00,107.578,107.604,107.556,107.59,4137020000
USDJPY,20180420,19:00,107.588,107.645,107.555,107.645,3536430001
USDJPY,20180420,20:00,107.645,107.666,107.582,107.632,2484570000
USDCHF,20180401,21:00,0.9526,0.95404,0.95194,0.95404,165370000
