<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,20180403,17:00,0.76835,0.7688,0.76813,0.76835,4417500000
AUDUSD,20180403,18:00,0.76835,0.76853,0.76755,0.76808,5408550000
AUDUSD,20180403,19:00,0.76806,0.76885,0.76776,0.76806,6887250000
AUDUSD,20180403,20:00,0.76806,0.76858,0.76787,0.76834,2118840000
AUDUSD,20180403,21:00,0.7682,0.76864,0.76814,0.7685,3514860000
AUDUSD,20180403,22:00,0.76848,0.76878,0.76835,0.76847,1632910000
AUDUSD,20180403,23:00,0.76848,0.76865,0.76794,0.76811,947710000
AUDUSD,20180404,0:0,0.76812,0.76901,0.768,0.76878,2769830000
AUDUSD,20180404,10:00,0.76877,0.77011,0.76807,0.77011,5306520000
AUDUSD,20180404,20:00,0.7701,0.77168,0.77004,0.77077,4457930000
AUDUSD,20180404,3:00,0.77078,0.77134,0.77036,0.77125,2790810000
AUDUSD,20180404,4:00,0.77125,0.77145,0.77058,0.77058,2511320000
AUDUSD,20180404,5:00,0.77057,0.77071,0.76951,0.76996,4111690000
AUDUSD,20180404,6:00,0.76997,0.76998,0.76877,0.76924,5323720000
AUDUSD,20180404,7:00,0.76926,0.76963,0.76745,0.7676,7048610000
AUDUSD,20180404,8:00,0.7676,0.76809,0.76645,0.76771,7553000000
AUDUSD,20180404,9:00,0.76771,0.76814,0.76676,0.7669,4688700000
AUDUSD,20180404,10:00,0.76691,0.76759,0.76625,0.76737,6653749995
AUDUSD,20180404,11:00,0.76739,0.76847,0.76723,0.76804,5032800000
AUDUSD,20180404,12:00,0.76804,0.76894,0.76752,0.7683,6516610000
AUDUSD,20180404,13:00,0.76831,0.76979,0.76812,0.76898,6851060000
AUDUSD,20180404,14:00,0.769,0.77074,0.76886,0.77004,7411870000
AUDUSD,20180404,15:00,0.77005,0.77048,0.76899,0.77008,6354300000
AUDUSD,20180404,16:00,0.77007,0.77102,0.76971,0.77051,4631320000
AUDUSD,20180404,17:00,0.7705,0.77057,0.76933,0.77004,3857840000
AUDUSD,20180404,18:00,0.77003,0.77087,0.76983,0.77063,3920610000
AUDUSD,20180404,19:00,0.7706,0.77211,0.77052,0.77154,4198270000
AUDUSD,20180404,20:00,0.77159,0.77169,0.7711,0.77153,2637230000
AUDUSD,20180404,21:00,0.77135,0.77184,0.77122,0.77161,2652400000
AUDUSD,20180404,22:00,0.77162,0.7726,0.77153,0.77241,1394710000
AUDUSD,20180404,23:00,0.77241,0.77247,0.77158,0.77199,1718310000
AUDUSD,20180405,0:0,0.77199,0.77236,0.77062,0.77165,3900110000
AUDUSD,20180405,10:00,0.77164,0.77164,0.77024,0.77087,3983260000
AUDUSD,20180405,20:00,0.77087,0.77155,0.77047,0.77051,2285210000
AUDUSD,20180405,3:00,0.77051,0.77052,0.7695,0.77021,2760960000
AUDUSD,20180405,4:00,0.77021,0.77023,0.76855,0.76914,2985900000
AUDUSD,20180405,5:00,0.76915,0.76945,0.76865,0.76901,3029850000
AUDUSD,20180405,6:00,0.76901,0.76952,0.76868,0.76943,4350930000
AUDUSD,20180405,7:00,0.76942,0.76974,0.76838,0.7689,5793280000
AUDUSD,20180405,8:00,0.76889,0.76942,0.76817,0.76817,4277580000
AUDUSD,20180405,9:00,0.76816,0.76855,0.768,0.76817,3931450000
AUDUSD,20180405,10:00,0.76816,0.76877,0.76784,0.76867,3440030000
AUDUSD,20180405,11:00,0.76866,0.76922,0.76838,0.76841,4718160000
AUDUSD,20180405,12:00,0.76842,0.76915,0.76785,0.76826,5851610000
AUDUSD,20180405,13:00,0.76826,0.76944,0.7682,0.76923,6360570000
AUDUSD,20180405,14:00,0.76922,0.7693,0.7674,0.76854,6246580000
AUDUSD,20180405,15:00,0.76853,0.76887,0.76793,0.76869,5255050000
AUDUSD,20180405,16:00,0.7687,0.76892,0.76783,0.76802,4595770000
AUDUSD,20180405,17:00,0.76804,0.76851,0.76737,0.76801,4751790000
AUDUSD,20180405,18:00,0.76801,0.76859,0.76794,0.76828,4494670000
AUDUSD,20180405,19:00,0.76828,0.76842,0.76774,0.76787,2868380000
AUDUSD,20180405,20:00,0.76787,0.76868,0.76771,0.76816,2484740000
AUDUSD,20180405,21:00,0.76808,0.76846,0.76801,0.76834,1698250000
AUDUSD,20180405,22:00,0.76834,0.7686,0.7664,0.76661,3054040000
AUDUSD,20180405,23:00,0.76661,0.76713,0.76573,0.76683,4575930000
AUDUSD,20180406,0:0,0.76681,0.76798,0.76681,0.76787,4856520000
AUDUSD,20180406,10:00,0.76787,0.76888,0.76752,0.76854,6487880000
AUDUSD,20180406,20:00,0.76856,0.76896,0.76827,0.76881,4026630000
AUDUSD,20180406,3:00,0.76881,0.76926,0.76778,0.76784,4132140000
AUDUSD,20180406,4:00,0.76784,0.76835,0.7676,0.76765,3526770000
AUDUSD,20180406,5:00,0.76765,0.76789,0.76718,0.76757,4113160000
AUDUSD,20180406,6:00,0.76758,0.76765,0.76667,0.76687,5816580000
AUDUSD,20180406,7:00,0.76688,0.76801,0.76663,0.76795,5097770000
AUDUSD,20180406,8:00,0.76795,0.76854,0.76776,0.76845,3903850000
AUDUSD,20180406,9:00,0.76847,0.76905,0.76837,0.76852,3733350000
AUDUSD,20180406,10:00,0.76853,0.76855,0.768,0.76803,3160580000
AUDUSD,20180406,11:00,0.76802,0.76811,0.76751,0.76767,2922630000
AUDUSD,20180406,12:00,0.76772,0.76958,0.76726,0.76905,9441790000
AUDUSD,20180406,13:00,0.76903,0.76993,0.76863,0.76925,8328880000
AUDUSD,20180406,14:00,0.76927,0.76971,0.76784,0.76827,6392900000
AUDUSD,20180406,15:00,0.76828,0.76882,0.76764,0.76823,5609350000
AUDUSD,20180406,16:00,0.76825,0.76841,0.76723,0.76831,5377190000
AUDUSD,20180406,17:00,0.76832,0.76834,0.76733,0.7675,5656030000
AUDUSD,20180406,18:00,0.76748,0.76801,0.76673,0.76694,6862710000
AUDUSD,20180406,19:00,0.76694,0.76801,0.76685,0.76763,7008620000
AUDUSD,20180406,20:00,0.76762,0.76763,0.76711,0.76711,2218180000
AUDUSD,20180408,21:00,0.76788,0.76799,0.76689,0.76695,968930000
AUDUSD,20180408,22:00,0.76696,0.76798,0.76687,0.76764,1104150000
AUDUSD,20180408,23:00,0.76764,0.76808,0.76754,0.76778,2157460000
AUDUSD,20180409,0:0,0.7678,0.76919,0.7677,0.76917,3716990000
AUDUSD,20180409,10:00,0.76917,0.76939,0.76849,0.76849,3841550000
AUDUSD,20180409,20:00,0.76852,0.7688,0.7681,0.76874,2604840000
AUDUSD,20180409,3:00,0.76875,0.76958,0.76858,0.76925,3210330000
AUDUSD,20180409,4:00,0.76927,0.76953,0.76889,0.76921,2207780000
AUDUSD,20180409,5:00,0.76921,0.76928,0.7689,0.76898,2929570000
AUDUSD,20180409,6:00,0.76897,0.76974,0.76863,0.76918,5561760000
AUDUSD,20180409,7:00,0.76918,0.76918,0.76643,0.76723,8032710000
AUDUSD,20180409,8:00,0.76723,0.76753,0.76656,0.76659,4294840000
AUDUSD,20180409,9:00,0.7666,0.76722,0.76595,0.76596,3211210000
AUDUSD,20180409,10:00,0.76598,0.766,0.76517,0.76574,4906310000
AUDUSD,20180409,11:00,0.76573,0.76623,0.76547,0.7661,4386860000
AUDUSD,20180409,12:00,0.7661,0.76695,0.76588,0.76683,4920080000
